"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-05-28","91.4","-1.5290","6.2235","Trea Turner",607208,502171,"field_out","hit_into_play",,,,,"1","Trea Turner flies out to right fielder Joey Rickard.  ","R","R","R","BAL","WSH","X",9,"fly_ball",0,0,2018,"-1.0483","1.4443","-0.4175","3.0947","null","null","null",0,1,"Top","158.37","85.85",,,572180,,"180528_171131","4.8860","-132.7994","-4.9305","-13.0399","27.1501","-14.8275","3.2271","1.3377","280","84.4","39.1340","89.9780","2049","5.4010",530213,502171,572180,641820,570731,502143,592518,502226,430945,572073,"55.0997","0.013","0.013","0.00",1,0,0,3,1,"1","4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard"
"FF","2018-05-27","88.8","-2.4322","5.4024","Trea Turner",607208,622694,"field_out","hit_into_play",,,,,"5","Trea Turner lines out sharply to left fielder Derek Dietrich.  ","R","R","R","MIA","WSH","X",7,"line_drive",1,0,2018,"-0.5836","1.2952","-0.0371","2.5875","null","null","null",0,1,"Top","69.01","89.83",,,592663,,"180527_171220","7.0679","-129.1322","-3.4993","-8.0223","28.1945","-17.2614","3.4138","1.5242","291","102.2","12.8560","88.4900","1987","6.2440",530198,622694,592663,571506,516770,500743,595375,518618,621446,605119,"54.2571","0.809","0.823","0.00",1,0,0,4,1,"2","4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard"
"FF","2018-05-27","88.8","-2.4710","5.4302","Trea Turner",607208,622694,"null","ball",,,,,"13","null","R","R","R","MIA","WSH","B","null","null",0,0,2018,"-0.6185","1.4937","-1.2279","2.3034","null","null","null",0,1,"Top","null","null",,,592663,,"180527_171203","4.3436","-129.2065","-4.6926","-7.8622","28.9577","-14.7167","3.7157","1.6825","null","null","null","88.6280","1949","6.3600",530198,622694,592663,571506,516770,500743,595375,518618,621446,605119,"54.1406","null","null","null","null","null","null","null",1,"1","4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard"
"FF","2018-05-26","91.0","1.6692","6.0542","Trea Turner",607208,612672,"field_out","hit_into_play",,,,,"4","Trea Turner flies out to left fielder Derek Dietrich.  ","R","R","L","MIA","WSH","X",7,"fly_ball",2,2,2018,"0.3546","1.4463","-0.8237","2.8760","null","null","null",0,1,"Top","null","null",,,592663,,"180526_201148","-6.9777","-132.2911","-5.1188","5.6043","27.8731","-14.4573","3.4670","1.5890","253","72.1","36.4070","90.6880","2043","6.1260",530183,612672,592663,571506,516770,500743,595375,518618,621446,605119,"54.3744","0.331","0.307","0.00",1,0,0,3,1,"5","4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard"
"CH","2018-05-26","81.8","1.7559","5.9331","Trea Turner",607208,612672,"null","ball",,,,,"14","null","R","R","L","MIA","WSH","B","null","null",1,2,2018,"0.8872","1.0705","1.3495","1.2649","null","null","null",0,1,"Top","null","null",,,592663,,"180526_201125","-2.5853","-119.0301","-5.9765","8.8211","22.1991","-21.2246","3.4670","1.5890","null","null","null","81.4250","1400","5.9740",530183,612672,592663,571506,516770,500743,595375,518618,621446,605119,"54.5272","null","null","null","null","null","null","null",1,"4","Changeup",0,0,0,0,0,0,0,0,"Standard","Standard"
"FF","2018-05-26","90.4","1.7170","6.1401","Trea Turner",607208,612672,"null","foul",,,,,"11","null","R","R","L","MIA","WSH","S","null","null",1,1,2018,"0.5305","1.5294","-0.9106","3.4345","null","null","null",0,1,"Top","null","null",,,592663,,"180526_201110","-7.6382","-131.3008","-3.9843","7.7414","28.4660","-13.9948","3.4670","1.5890","130","70.5","12.8533","89.9500","2109","6.1720",530183,612672,592663,571506,516770,500743,595375,518618,621446,605119,"54.3292","null","null","null","null","null","null","null",1,"3","4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard"
"FF","2018-05-26","90.5","1.6741","6.0902","Trea Turner",607208,612672,"null","called_strike",,,,,"6","null","R","R","L","MIA","WSH","S","null","null",1,0,2018,"0.4783","1.4482","0.6524","2.2096","null","null","null",0,1,"Top","null","null",,,592663,,"180526_201056","-3.5529","-131.6363","-6.7953","6.2783","27.7536","-14.2206","3.4670","1.5890","null","null","null","90.3100","2060","6.1830",530183,612672,592663,571506,516770,500743,595375,518618,621446,605119,"54.3182","null","null","null","null","null","null","null",1,"2","4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard"
"FF","2018-05-26","90.8","1.8203","6.1100","Trea Turner",607208,612672,"null","ball",,,,,"12","null","R","R","L","MIA","WSH","B","null","null",0,0,2018,"0.4246","1.5248","1.3609","2.8624","null","null","null",0,1,"Top","null","null",,,592663,,"180526_201044","-2.0400","-132.1149","-5.4062","5.3585","28.7175","-13.5807","3.4670","1.5890","null","null","null","90.3560","2089","6.0710",530183,612672,592663,571506,516770,500743,595375,518618,621446,605119,"54.4302","null","null","null","null","null","null","null",1,"1","4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard"
"FT","2018-05-25","96.5","-1.5424","6.0401","Trea Turner",607208,570632,"field_out","hit_into_play",,,,,"9","Trea Turner grounds out, shortstop Miguel Rojas to first baseman Justin Bour.  ","R","R","R","MIA","WSH","X",6,"ground_ball",1,1,2018,"-1.3239","1.1525","0.5537","2.0882","null","null","null",0,1,"Top","118.11","165.43",,,592663,,"180525_231210","8.5081","-140.0743","-7.4563","-19.2171","32.5497","-15.6669","3.4138","1.5242","3","92.7","-36.3450","95.8320","2275","6.1080",530168,570632,592663,571506,516770,445988,500743,518618,621446,605119,"54.3926","0.102","0.088","0.00",1,0,0,2,1,"3","2-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard"
"FT","2018-05-25","96.2","-1.4586","6.0825","Trea Turner",607208,570632,"null","ball",,,,,"14","null","R","R","R","MIA","WSH","B","null","null",0,1,2018,"-1.3175","1.1786","1.4235","1.2261","null","null","null",0,1,"Top","null","null",,,592663,,"180525_231154","10.5635","-139.4454","-9.8705","-19.4752","30.8465","-14.8760","3.7236","1.7217","null","null","null","95.8050","2262","6.2410",530168,570632,592663,571506,516770,445988,500743,518618,621446,605119,"54.2603","null","null","null","null","null","null","null",1,"2","2-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard"
